Title,SubTitle,Rating,ItemPrice,TrendingPrice,ItemLink
, Brand New,4.5 out of 5 stars.,$279.99,$299.99,https://www.ebay.com/itm/233623697148?epid=5038105069&hash=item36650eb6fc:g:-O8AAOSwZxdjQjJD&amdata=enc%3AAQAHAAAA4JMnWtNn25n7Xa84Cvety8sXwoij%2F67JqZKpdgiCRv%2BbInPNMueJTzBDpCLZYN4NH0X1UP7hULqYLnsnnJk0owHSj%2B0N9McTLF1D2PTitacgHN4uSZ1DISyTpCaYCvHdliZpCAdeYhtxT9KIDBUqbOoLhYAckmWEvhSOs8I7W9iLT8N99xObL47sb4Zd25BKfIzjmdqxtoCIPqnw%2FspJFvR62qXk1YMeoFUAmUJ5uvLDlaXI%2FFUoG7PIwjmCYThWUh98anWlGOXq%2BawWVCBKDSRbchDHAarMCsVxPAWqTAT%2F%7Ctkp%3ABFBM5NGX57dh
, Brand New,,$129.99,$179.99,https://www.ebay.com/itm/223541516720?hash=item340c1cd9b0:g:Q7sAAOSw631jT6rL&amdata=enc%3AAQAHAAAA4K1kLu4y1qiX7jidIHnBbAqRH1bSWxblSYnkpdRzZwkHPYd9dCU1z1bJHGN741BCgj%2Bybz9lIop095l95wOUkfItXZNQRifojFuTJVc9XCxzO0c6UEQC1B2yMfM0iHoYFz91TXZSOgMPprsKsRDRzjgqJvQJVkscQeIznj0%2FYUQgxcks9DDgXyxzYfmKrNtxjBUdkbIW7BLLM%2BksVVLwjgX9MlvyIRbcs8c7XuF4o2RhWmsAkSdww4%2BMMwYm%2F9xzOk1gEfW%2B6b2SZlMKerY07w3X8W3Z4YPKiZV4MoumQ1YP%7Ctkp%3ABFBM5NGX57dh
, Brand New,,$269.99,$349.99,https://www.ebay.com/itm/313533050180?epid=2319735223&hash=item490006ad44:g:tB4AAOSwxyxgme~F&amdata=enc%3AAQAHAAAA4Hqyk01e4qAXvWzZsBVoErAXe5Ak244n0zi9CPWo%2FvMwzc%2FuVB6uPTOjFBejJrN1WqJztuL%2Fkhb4GdM%2BP6Y%2B1ZNHxHSU7mp%2BQBaCJ9bMiGAtVijebeBB0nE7cKFjZGw%2F7sOXV6WxtjfuwQQUFJyVlUObL3RKFrFhTBwboBZ5otWj%2B2qz%2Fe69zJMMwuZ9wxCy99W%2B3ElPxts%2BA3uqpAl%2BDBvTlFCyusTRmBSoTi4m9aO8%2FvvTA2zY55R2NXuah4c9hlUhZTueX5qImp0RBHML7eKpou7o%2F3ZvXFtEENEvGnzx%7Ctkp%3ABFBM5NGX57dh
, Pre-Owned,,,,https://www.ebay.com/itm/144904236488?hash=item21bcf72dc8:g:waoAAOSwASVjxfLF&amdata=enc%3AAQAHAAAAoJo72Uk%2FLdmF3WMyd6fHw4an5ygXt9x8XhJz7MxYucR4ecLMUcc7Ycrg3xbPkube1tO6BmEn%2Fn43Hs8g6KR5wWdqn7tP2QEp%2BNxYmqmJTZVb3GIZfvcmMjMKVDSiUHkpK7nY8pjBiWF4AtDjxvUaO%2BA1HNHD%2B8K8o6X0k3uei9UfvXjmKjn52hOqcw53KacsCNcTksmBvfwBUxNCNYny%2FN0%3D%7Ctkp%3ABk9SR-TRl-e3YQ
, Brand New,4.5 out of 5 stars.,$249.95,,https://www.ebay.com/itm/285042162237?epid=28034986813&hash=item425dd63a3d:g:beAAAOSw8G5jw07j&amdata=enc%3AAQAHAAAA4Ab%2FnDdnJX2OhpI78z0%2F8q5kqaxN%2BVo0ngQu3Csfq80Q419j0m24DbC8NU8wleqlMKl3IWvgY2lRP81l7h4nZ9m%2BjGR936jOyAcsJXTYlwRchjJ%2BkC3O7TkLFN%2FS98f2snwMe%2FGjA7dvzv3L25dOJVMDNEdUMo%2Fmkna6wMg8DzIQlfhW1e7kTM7Ct6UHR34nCAY4ujW95ZDO50NGSwoCJC5r7LJfZ%2FUBpQxVR8SYiefeoEPgNU49RUwlgI6OcJz8he5QcwbGKG%2BGse91hofczPIiVnSV5s3EA4epPlZFklCg%7Ctkp%3ABk9SR-TRl-e3YQ
, Pre-Owned,,$222.22,,https://www.ebay.com/itm/295256991068?hash=item44beb0255c:g:3DgAAOSw75xjSerp&amdata=enc%3AAQAHAAAA4BjXbgtCY%2Bc6ZZPGFqqRufzL2hkDyJSKy6roUKY9R3%2BtGlUPej%2BRzgVkuv8vkAZiNahY0ErQTl4649X5ZfgKY9z90DhGFyHiEz6xSI2Bzy408vkZ6JO93%2BqbU4ayFQAvMQFP78IsWS74FKDjQ7R6AHE0riBhCntyD78GgXbumq99%2BfWUneqn0b1Hxw%2Fc7CE%2BeyVkPUIrD3TvHQ9%2BsRwqVLcJreATMeKjIzAbVuH5OaYtUNSa5FOoeh839GFJKJDOk9blyrSvxGn4Dw4IvT2JuknG%2B3zZnqEcE9YkRKKaCsVt%7Ctkp%3ABk9SR-TRl-e3YQ
, Open Box,,$200.00,,https://www.ebay.com/itm/234858690239?hash=item36aeab36bf:g:LfgAAOSwonNjwYk1&amdata=enc%3AAQAHAAAAoOokZFftpII4MV3QAagrmsslQewNhvadvrpfBy%2B3ZKDmidljW%2FifcFcQtKhJF%2FaKnVE9bCDxNAtJS4JuyjD5JFj%2BoIirnYIUbxOOkB0eY%2By%2FHrnmiAsmBsyLm6%2Fzx1X6vVC458glguGjIhaiKL3mI0LD%2BL8J90xLIMUnJt5d%2BCQq3MVMZWP1cTh70iwW2SGpNP%2FwKTtPP157u6LQvunhpwY%3D%7Ctkp%3ABk9SR-bRl-e3YQ
, Brand New,4.5 out of 5 stars.,$749.99,$899.99,https://www.ebay.com/itm/233185136983?epid=16027561172&hash=item364aead157:g:xqAAAOSw5eBcoaoK&amdata=enc%3AAQAHAAAA4NOlj%2BmKWLlr83SMeSESKYf6c5wf%2FalVWOiYTqJzWIn%2B2uAO3wRij5tGy0tDcokiovhkUXiffaWQOWG8zc2RSnI%2F2VZaRyeqMhzZM8z%2BwW9wcrSj0P2109MA0noGC4ZT8C5w3FK%2FVS0LenoQtujA69glbODr7QKEikwiVxNruTHo%2F4yUiXK%2F30%2BXfbA4d0GwNUWzazFRmQtvMTGUgYtoAUBLBAyCvdOt%2FQjXrkAIzvqQLXctMHIsKLDZPCmIDCq2kWpe5D2%2FRwExFo14Mgz68PGJDBD2Qd9O%2BDSzF4I2Yf%2Fb%7Ctkp%3ABk9SR-bRl-e3YQ
, Brand New,4.5 out of 5 stars.,$56.00,,https://www.ebay.com/itm/125720527219?epid=18041884280&hash=item1d45870173:g:ue4AAOSwZwRjwXs-&amdata=enc%3AAQAHAAAAoF0%2FOuv1U136mpXhTr5PIx%2Bu3qMF8GGX4OQNE7wia0sY8H4t0LllI58Eb1LIfA1od8fS%2BtAiVWWijbBINve1ZKlNWFPrAAzQcMvqTP28gglfEzRGTIsf3RURWA61KNgkDDxSXWRxNz9r89J%2FZ6PzzztaLsLMp8pr%2ByXdkZebDe8iJ9nWBdEaUKC9Yuh%2FK25pJpoCwRPFsM14coebYTQdWSI%3D%7Ctkp%3ABk9SR-bRl-e3YQ
, Brand New,5.0 out of 5 stars.,$319.99,$499.99,https://www.ebay.com/itm/374346213957?epid=19034409801&hash=item5728c5ea45:g:ZwEAAOSwfVZjxU23&amdata=enc%3AAQAHAAAAoJF1d7XMApmN%2B8U%2BQJ0khzYN7NTkWrhN2xhCLdkJLcE88jDDiyLFhTB9IYKdAiMWzofxTQ4j9R916vyAK2FGdqjPGG1CPGwFg4VhiNHfE3ZbMavEBjBSG25BGkn0wHA%2BqJdZ7ZWbDtgmJHgznt4C4TSiXyO%2BIiqbf8fReKZp6DiccVyq2g5LkIorGTsNlXbp3bfyoL9oG02mFAsEgnkixGM%3D%7Ctkp%3ABk9SR-bRl-e3YQ
